LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 4 by 3 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
1200 atoms in group fixed
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 12 12 15
  stencil order = 5
  estimated absolute RMS force accuracy = 1.98714e-05
  estimated relative force accuracy = 5.98421e-08
  using double precision FFTs
  3d grid and FFT values/proc = 864 48
Neighbor list info ...
  6 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 14.0371 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 27[1] 27[2] 27[3] 
  100000     296.9327    1.2509986    3614.8774            0            0    2.1050326   -2.3244717   -8790.3029    44657.537 -0.067234084   -17.036218 -0.041707817    3615.0969    1525.8958    997.83434    934.37375    28.379018    18.843945    14.336599 0.00032786039 0.00032778738 0.00033569994 0.00033563594     296.9327     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    983.58117    28.379982    18.846116    14.337598 
  110000    295.83589    1.2509986    3593.3717            0            0      2.10005   -2.3247355   -8012.8056    44657.537 -0.067234084   -17.036218 -0.041707817    3593.5964    1490.0158    994.74791    947.28357    28.378661    18.847227    14.337359 0.00035646921 0.00035612189 0.00036519609 0.00036487654    295.83589     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1069.4076     28.37948    18.846338    14.337245 
  120000     301.6933    1.2509986    3564.5521            0            0    2.1071193   -2.3244116   -7776.3834    44657.537 -0.067234084   -17.036218 -0.041707817    3564.7694    1509.0603    959.58147    932.84292    28.379233    18.846328    14.337372 0.00034084879 0.00034069356 0.00035226059 0.00035209871     301.6933     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1022.5464     28.37997    18.846474    14.337578 
  130000    300.61237    1.2509986    3512.7082            0            0    2.1044459   -2.3245718   -8620.2121    44657.537 -0.067234084   -17.036218 -0.041707817    3512.9284    1462.7583    971.23092    925.77151    28.380782    18.845472    14.336375 0.00033660403 0.00033657755 0.00034450921 0.00034426594    300.61237     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1009.8121    28.379785    18.846182    14.337578 
  140000    294.76593    1.2509986    3600.3989            0            0    2.1009438   -2.3249217   -6316.6459    44657.537 -0.067234084   -17.036218 -0.041707817    3600.6228    1523.0129    1005.3661    915.48693    28.379984     18.84599    14.336976 0.00032851675 0.00032841289 0.00033235017 0.00033219747    294.76593     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    985.55024    28.379685    18.845965    14.337513 
  150000     301.8948    1.2509986    3487.3678            0            0    2.1005938   -2.3246589   -9437.2935    44657.537 -0.067234084   -17.036218 -0.041707817    3487.5919    1493.9276    953.31395      883.384    28.378911      18.8464    14.337574 0.00035333383 0.0003531103 0.00036013738 0.00035987816     301.8948     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1060.0015    28.379888    18.846565    14.337986 
  160000    299.40905    1.2509986     3528.477            0            0    2.1024897   -2.3245466   -8110.4161    44657.537 -0.067234084   -17.036218 -0.041707817     3528.699    1504.1478    950.23374     918.4975     28.37871    18.844118    14.336904 0.00035847995 0.00035800076 0.00036430798 0.00036384967    299.40905     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1075.4398    28.379098    18.846012    14.337843 
  170000    298.02798    1.2509986     3611.528            0            0    2.1078005   -2.3245466   -7279.3527    44657.537 -0.067234084   -17.036218 -0.041707817    3611.7448    1526.3945     989.6299     929.5232    28.379995     18.84587    14.336948 0.00033576646 0.00033567842 0.0003365771 0.00033652651    298.02798     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1007.2994    28.379889    18.846449     14.33776 
  180000     291.6281    1.2509986    3531.2335            0            0    2.1039276   -2.3247582   -7089.5311    44657.537 -0.067234084   -17.036218 -0.041707817    3531.4543    1484.2656    967.73957    918.65301    28.379142    18.845417    14.337313 0.00034561292 0.00034543433 0.00035107295 0.00035088887     291.6281     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1036.8388    28.379856    18.845865    14.337476 
  190000    300.20363    1.2509986    3581.5129            0            0    2.1053553   -2.3244437   -8298.9526    44657.537 -0.067234084   -17.036218 -0.041707817     3581.732    1494.7999    1029.9076     897.9904    28.379069    18.845279    14.337537 0.00035029384 0.00035026114 0.00034881144 0.00034880304    300.20363     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1050.8815    28.379839    18.846122    14.337891 
  200000    297.74471    1.2509986    3554.2349            0            0    2.1024572   -2.3247134   -7556.6617    44657.537 -0.067234084   -17.036218 -0.041707817    3554.4571      1495.61    990.75795    914.74327    28.380833     18.84362    14.338122 0.00034726334 0.00034715571 0.00034858441 0.00034829466    297.74471     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069      1041.79    28.379867    18.846221    14.338047 
  210000    295.30146    1.2509986    3472.6796            0            0    2.1031966   -2.3246687   -8005.2171    44657.537 -0.067234084   -17.036218 -0.041707817     3472.901    1461.5069    928.36302    925.75317    28.379934    18.847098    14.337591 0.00034370613 0.00034368524 0.00034336172 0.00034332537    295.30146     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1031.1184    28.379644    18.846111    14.337693 
  220000    299.66395    1.2509986    3535.3165            0            0    2.1009065   -2.3247581   -8532.3055    44657.537 -0.067234084   -17.036218 -0.041707817    3535.5404    1485.8529    944.35327    942.20863     28.38169    18.846355    14.338607 0.0003471224 0.0003470695 0.00034831928 0.00034821617    299.66395     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1041.3672     28.37981    18.846334    14.337904 
  230000     299.5235    1.2509986    3564.8069            0            0    2.1037767   -2.3246857   -7605.5594    44657.537 -0.067234084   -17.036218 -0.041707817    3565.0278    1478.9826    1018.2624    912.69103    28.378889    18.847253    14.336317 0.00034698821 0.00034674054 0.00035213414 0.00035174058     299.5235     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1040.9646    28.379711    18.846596    14.337467 
  240000    296.51443    1.2509986    3510.7081            0            0     2.101977   -2.3250209   -8356.3612    44657.537 -0.067234084   -17.036218 -0.041707817    3510.9311    1498.8152    969.32343    886.52944    28.379175    18.845517    14.336811 0.00034393135 0.00034380731 0.00034665421 0.00034646779    296.51443     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1031.794    28.379917    18.846394    14.337505 
  250000    301.74369    1.2509986    3517.9052            0            0     2.098029   -2.3250386   -8641.5378    44657.537 -0.067234084   -17.036218 -0.041707817    3518.1322    1474.4473    969.19709    916.51727    28.379017    18.845873    14.336941 0.00034186582 0.0003417387 0.00034383495 0.00034332611    301.74369     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1025.5975    28.379433    18.846234    14.337608 
  260000    292.15056    1.2509986    3525.6695            0            0     2.105784   -2.3249725   -7532.9949    44657.537 -0.067234084   -17.036218 -0.041707817    3525.8887    1488.9826    973.82963    906.48875    28.378672    18.845958    14.336635 0.00034929266 0.00034912472 0.00034577992 0.00034563366    292.15056     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1047.878    28.380035    18.845879    14.337709 
  270000    295.48769    1.2509986    3579.1494            0            0    2.1034556   -2.3251228   -8243.4258    44657.537 -0.067234084   -17.036218 -0.041707817    3579.3711    1494.9711    1014.4231    913.51125    28.378523    18.845188    14.336609 0.00036970433 0.00036941556 0.00037257788 0.00037221479    295.48769     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1109.113    28.380024    18.845761    14.337944 
  280000     303.0947    1.2509986    3533.4164            0            0    2.1046193   -2.3245778   -6256.3729    44657.537 -0.067234084   -17.036218 -0.041707817    3533.6364    1462.2502    940.78992    964.35143    28.380442    18.845031    14.337625 0.00034788676 0.00034786627 0.00034823296 0.00034817133     303.0947     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1043.6603    28.379893    18.846164    14.337687 
  290000    293.82343    1.2509986    3561.4017            0            0    2.0983794   -2.3247397   -8684.4802    44657.537 -0.067234084   -17.036218 -0.041707817     3561.628    1508.8573    962.85949    933.58197     28.37665    18.846206    14.336305 0.00033420432 0.00033411874 0.00033835797 0.00033809652    293.82343     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1002.613    28.379747    18.845958    14.337926 
  300000    293.48228    1.2509986    3528.7129            0            0    2.1024544   -2.3244344   -9191.5049    44657.537 -0.067234084   -17.036218 -0.041707817    3528.9349    1487.2308    965.85481    919.73788    28.380115     18.84611    14.337366 0.00034699169 0.00034683698 0.00034931575 0.00034912889    293.48228     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1040.9751    28.379819     18.84634    14.338094 
  310000    296.37338    1.2509986    3534.1477            0            0    2.1001153   -2.3248507   -10104.542    44657.537 -0.067234084   -17.036218 -0.041707817    3534.3725    1487.9619     963.5941     922.3489    28.378523    18.845186    14.336878 0.00034591843 0.00034535592 0.00034552271 0.00034463622    296.37338     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1037.7553    28.379098    18.845874    14.337574 
  320000    295.77021    1.2509986    3549.4123            0            0     2.105004   -2.3248205   -7034.8961    44657.537 -0.067234084   -17.036218 -0.041707817    3549.6321    1511.3858    978.90106    901.38701    28.379117    18.845366    14.337499 0.00034643966 0.00034637392 0.00035202081 0.00035195077    295.77021     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1039.319     28.37968    18.846364    14.337901 
  330000    292.91675    1.2509986    3513.7985            0            0    2.1035068   -2.3247097   -9747.1273    44657.537 -0.067234084   -17.036218 -0.041707817    3514.0197    1486.4802    970.06584    903.78709     28.37847    18.845238    14.336081  0.000365818 0.00036522337 0.00036919458 0.0003690429    292.91675     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1097.454    28.379639    18.845476    14.337453 
  340000    304.06008    1.2509986    3465.8884            0            0    2.1062412   -2.3249104    -7947.813    44657.537 -0.067234084   -17.036218 -0.041707817    3466.1071    1441.8666    969.02452    904.10605    28.382689    18.844818    14.337169 0.00034281974 0.00034242238 0.00035182389 0.00035109782    304.06008     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1028.4592    28.380109     18.84659    14.337408 
  350000    300.54052    1.2509986    3495.2132            0            0    2.1007085   -2.3246803   -8419.4041    44657.537 -0.067234084   -17.036218 -0.041707817    3495.4371    1468.9196    968.86821    902.45867    28.380773    18.846432    14.337512 0.00033942192 0.00033941869 0.00033966752 0.00033956601    300.54052     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1018.2658    28.379794    18.846141     14.33776 
  360000    296.38836    1.2509986    3490.1529            0            0    2.1019464   -2.3245292   -10693.561    44657.537 -0.067234084   -17.036218 -0.041707817    3490.3755     1466.413     973.6701    894.30496    28.380023    18.846891    14.337915 0.00034562922 0.00034542658 0.00035008879 0.00034974666    296.38836     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1036.8877    28.379746    18.845965    14.338133 
  370000    301.82954    1.2509986    3529.4859            0            0    2.1016131   -2.3247235   -7277.7805    44657.537 -0.067234084   -17.036218 -0.041707817     3529.709    1413.0443    1019.2759    937.18702    28.379538    18.845641    14.337476 0.00034499921 0.00034427515 0.00035086527 0.00035000674    301.82954     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1034.9976    28.379039    18.846612    14.337604 
  380000    298.76591    1.2509986      3566.11            0            0    2.1018162   -2.3248804   -7818.6122    44657.537 -0.067234084   -17.036218 -0.041707817    3566.3331    1522.3076    944.13268    936.79184    28.379645    18.846721    14.337085 0.0003478944 0.00034783633 0.00035470073 0.00035453407    298.76591     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1043.6832    28.379552    18.846239    14.337845 
  390000    301.21107    1.2509986    3433.2171            0            0    2.1045279   -2.3244918   -6772.7398    44657.537 -0.067234084   -17.036218 -0.041707817    3433.4371    1472.1839    943.23269    870.44795    28.377954    18.845762    14.336872 0.00035863109 0.00035844308 0.00036421111 0.00036394651    301.21107     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1075.8933    28.380145    18.846094    14.337557 
  400000    299.86421    1.2509986    3453.6913            0            0    2.0988775   -2.3247399   -8825.3642    44657.537 -0.067234084   -17.036218 -0.041707817    3453.9172    1452.7027    957.32766    890.02508    28.379421    18.845072    14.337209 0.00035454766 0.0003539625 0.00035926798 0.00035862029    299.86421     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1063.643    28.380518    18.846286    14.337777 
  410000    293.54484    1.2509986    3511.9992            0            0    2.1050012    -2.324721   -7638.9266    44657.537 -0.067234084   -17.036218 -0.041707817     3512.219    1488.7811    936.01765    928.63805    28.379718    18.846467    14.337996 0.00036705577 0.00036641634 0.00037591194 0.00037462959    293.54484     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1101.1673    28.380072    18.846759    14.338197 
  420000    302.44607    1.2509986    3539.2128            0            0    2.1024235   -2.3247193   -8977.5119    44657.537 -0.067234084   -17.036218 -0.041707817    3539.4351     1512.952    954.16507    918.13237     28.38093    18.846969    14.337571 0.00034595665 0.00034558011 0.00034553394 0.00034527106    302.44607     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1037.8699    28.380271    18.846178    14.337397 
  430000    294.67577    1.2509986    3531.0602            0            0    2.1049285   -2.3247687   -7433.4885    44657.537 -0.067234084   -17.036218 -0.041707817      3531.28    1521.9196    982.61013    879.65146    28.381729    18.844841    14.338926 0.00034389052 0.00034334612 0.00033766668 0.00033701032    294.67577     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1031.6716    28.379307    18.845838    14.338208 
  440000    297.79078    1.2509986    3486.8097            0            0    2.1043982   -2.3244739   -8310.4713    44657.537 -0.067234084   -17.036218 -0.041707817    3487.0297     1454.395     960.9223    916.19824    28.378311     18.84535    14.336809 0.00035482765 0.00035473634 0.00035812314 0.00035806615    297.79078     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1064.483    28.379618    18.846094     14.33799 
  450000    297.87944    1.2509986    3453.5283            0            0    2.1045486    -2.324946   -7033.9807    44657.537 -0.067234084   -17.036218 -0.041707817    3453.7487    1433.6707    980.01257    889.99007    28.377527    18.844921    14.336905 0.00034541481 0.00034536941 0.00034580378 0.00034545262    297.87944     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1036.2444    28.379559    18.846248    14.337752 
  460000    302.85087    1.2509986    3523.9495            0            0    2.1017855   -2.3247181   -7218.4229    44657.537 -0.067234084   -17.036218 -0.041707817    3524.1724    1540.0841    977.68498    860.42119    28.380254    18.845314    14.337059 0.00035156186 0.00035143675 0.00036212484 0.0003617855    302.85087     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1054.6856    28.379465    18.846202    14.337932 
  470000    299.80984    1.2509986    3443.8378            0            0    2.1004044    -2.324711   -8528.2695    44657.537 -0.067234084   -17.036218 -0.041707817    3444.0621    1467.3743    944.93467    877.67034    28.380958    18.845715    14.337874 0.00034454807 0.00034351925 0.00034665114 0.00034574809    299.80984     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1033.6442    28.380217    18.845611    14.337036 
  480000    296.15382    1.2509986      3537.32            0            0    2.1020122   -2.3246116    -8337.302    44657.537 -0.067234084   -17.036218 -0.041707817    3537.5426    1524.7692    980.57316    875.28131    28.380061    18.846329    14.337776 0.00034720247 0.00034710079 0.00034830432 0.0003481428    296.15382     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1041.6074    28.379668    18.846443    14.337581 
  490000    295.29357    1.2509986    3531.6832            0            0    2.1029876   -2.3248736   -7165.0375    44657.537 -0.067234084   -17.036218 -0.041707817    3531.9051    1486.1957    988.71186    896.89564    28.379738    18.846181    14.337374 0.00035604128 0.00035576104 0.00036031901 0.00036018215    295.29357     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1068.1238    28.379722    18.846706    14.337672 
  500000    302.50318    1.2509986     3509.783            0            0    2.1023092   -2.3251952   -7677.4326    44657.537 -0.067234084   -17.036218 -0.041707817    3510.0059    1475.6529    975.44345    902.37046    28.376458    18.844613     14.33702 0.00035322229 0.00035298016 0.00035636895 0.00035601544    302.50318     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1059.6669     28.37946    18.845924     14.33803 
  510000    293.48986    1.2509986     3491.331            0            0     2.101986   -2.3248289   -9734.6726    44657.537 -0.067234084   -17.036218 -0.041707817    3491.5539    1465.2099    991.63337    882.42382    28.380561    18.845398    14.337225 0.00033819592 0.0003374416 0.00034388603 0.00034263862    293.48986     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1014.5878     28.38057    18.846488    14.337661 
  520000    299.06391    1.2509986    3483.1571            0            0    2.1031586   -2.3247541   -8784.3524    44657.537 -0.067234084   -17.036218 -0.041707817    3483.3787    1498.8531    962.79852    870.38905    28.379569    18.846373    14.337636 0.00035463977 0.00035438429 0.00035569111 0.0003553255    299.06391     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1063.9193    28.379495    18.846412    14.338102 
  530000    297.99379    1.2509986    3474.6551            0            0    2.1003917   -2.3247962   -7145.7102    44657.537 -0.067234084   -17.036218 -0.041707817    3474.8795    1479.4072    971.92025    874.48324    28.379575    18.846979    14.336755 0.0003470675 0.00034642544 0.00034912268 0.00034824613    297.99379     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1041.2025    28.380027    18.846501    14.337054 
  540000    304.98726    1.2509986    3467.3866            0            0    2.1066781   -2.3244851   -7525.5137    44657.537 -0.067234084   -17.036218 -0.041707817    3467.6044    1434.0766    990.48606    889.44373    28.377617    18.845779    14.337842 0.00035210571 0.00035166681 0.00035704455 0.00035643232    304.98726     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1056.3171    28.379219     18.84647    14.337988 
  550000    294.15671    1.2509986    3504.9915            0            0    2.1015355   -2.3251638   -8971.2217    44657.537 -0.067234084   -17.036218 -0.041707817    3505.2151    1505.8642    946.51767    899.37578    28.380793    18.845928    14.338132 0.00034894034 0.0003489336 0.00034968284 0.00034966345    294.15671     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1046.821    28.379754     18.84626    14.337715 
  560000    300.23966    1.2509986    3562.8817            0            0    2.1066479   -2.3242538   -6898.0408    44657.537 -0.067234084   -17.036218 -0.041707817    3563.0993    1515.4589    984.89518    908.66607     28.37947    18.845703    14.336457 0.0003465498 0.00034586496 0.00034978745 0.00034936448    300.23966     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1039.6494    28.380347    18.845684    14.337435 
  570000    296.35785    1.2509986    3501.9153            0            0    2.1044743   -2.3248005   -7134.2219    44657.537 -0.067234084   -17.036218 -0.041707817    3502.1356    1486.7817    980.66841    884.86012    28.380279    18.844942      14.3376 0.00036257598 0.00036247298 0.00036184619 0.00036168474    296.35785     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1087.7279    28.379537    18.845952    14.337744 
  580000    292.06786    1.2509986    3540.0931            0            0    2.1004815   -2.3251037   -9662.7458    44657.537 -0.067234084   -17.036218 -0.041707817    3540.3177    1498.4386    968.29264    916.03445    28.379108    18.846253    14.336918 0.00035631345 0.00035606326 0.00036179692 0.00036173879    292.06786     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1068.9403     28.37976    18.846091    14.338231 
  590000    302.31121    1.2509986     3487.264            0            0    2.1021262   -2.3249418   -7337.9495    44657.537 -0.067234084   -17.036218 -0.041707817    3487.4869    1481.1355    957.19223    896.25868    28.378859    18.846033    14.337551 0.00035460458 0.00035441921 0.00035582401 0.00035558754    302.31121     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1063.8137    28.379887    18.846179    14.338151 
  600000    300.77345    1.2509986    3477.1095            0            0    2.0990461   -2.3248192    -8041.225    44657.537 -0.067234084   -17.036218 -0.041707817    3477.3353    1465.6331    980.76771    877.99476    28.380451    18.845639    14.338061 0.00036397514 0.00036387682 0.00036814853 0.00036785023    300.77345     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1091.9254    28.379752     18.84627     14.33804 
